IDSTUD,IDSCHOOL,TOTWGTS,IS18C_plan_capacity,ASDAGE,SEX_female,IS34_lang,prnt_ed_M,IS17G_miss_meals,IS01_prop_sch_time,IS09_comm_modes,IS21_teach_sup,IS18E_adult_help,IS14A,IS14C,IS14K,IS17A,IS17C,IS17E,IS25A,IS25B,IS25C,IS25D,IS25E,IS25F,IS25G,IS25H,IS25J,IT05F_indiv,IT06D_indep,IP13D_prnt_sup,IP21_remote_prep,IP34_locale_size,IP34A_public,IP1G35C_prop_disadvan,IP03_tech
10070101,1007,27.12283384807693,2.0,13.17,1,1,4.0,1.0,1.0,4.0,3.25,3.0,1.0,3.0,1.0,2.0,1.0,1.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,2.0,3.7058823529411766,3.235294117647059,2.0,4.0,2.0,1.0,1.0,2
10070102,1007,27.12283384807693,3.0,12.08,1,1,3.5,2.0,1.0,2.0,3.5,2.0,2.0,3.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,3.7058823529411766,3.235294117647059,2.0,4.0,2.0,1.0,1.0,2
10070103,1007,27.12283384807693,3.0,13.33,1,1,5.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,3.7058823529411766,3.235294117647059,2.0,4.0,2.0,1.0,1.0,2
10070104,1007,27.12283384807693,2.0,13.42,1,1,3.0,2.0,4.0,3.0,3.25,2.0,2.0,2.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.7058823529411766,3.235294117647059,2.0,4.0,2.0,1.0,1.0,2
10070105,1007,27.12283384807693,2.0,13.83,1,1,5.0,1.0,1.0,1.0,1.25,2.0,4.0,2.0,3.0,2.0,1.0,1.0,,,,,,,,,,3.7058823529411766,3.235294117647059,2.0,4.0,2.0,1.0,1.0,2
10070106,1007,27.12283384807693,2.0,13.33,1,1,3.0,1.0,1.0,3.0,2.75,1.0,3.0,,2.0,1.0,1.0,2.0,4.0,3.0,2.0,3.0,4.0,3.0,1.0,4.0,2.0,3.7058823529411766,3.235294117647059,2.0,4.0,2.0,1.0,1.0,2
10070107,1007,27.12283384807693,,12.83,1,1,3.0,,1.0,0.0,2.5,,,,1.0,,,,4.0,4.0,4.0,2.0,,,2.0,2.0,2.0,3.7058823529411766,3.235294117647059,2.0,4.0,2.0,1.0,1.0,2
10070108,1007,27.12283384807693,3.0,13.5,1,1,3.0,4.0,1.0,2.0,3.5,2.0,1.0,3.0,3.0,4.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.7058823529411766,3.235294117647059,2.0,4.0,2.0,1.0,1.0,2
10070109,1007,27.12283384807693,2.0,13.5,1,1,3.0,2.0,5.0,2.0,2.5,2.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.7058823529411766,3.235294117647059,2.0,4.0,2.0,1.0,1.0,2
10070110,1007,27.12283384807693,1.0,13.25,1,1,4.5,2.0,1.0,1.0,3.25,2.0,3.0,1.0,4.0,3.0,,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.7058823529411766,3.235294117647059,2.0,4.0,2.0,1.0,1.0,2
10070111,1007,27.12283384807693,3.0,13.67,1,1,3.0,3.0,1.0,3.0,2.75,2.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.7058823529411766,3.235294117647059,2.0,4.0,2.0,1.0,1.0,2
