IDSTUD,IDSCHOOL,TOTWGTS,IS18C_plan_capacity,ASDAGE,SEX_female,IS34_lang,prnt_ed_M,IS17G_miss_meals,IS01_prop_sch_time,IS09_comm_modes,IS21_teach_sup,IS18E_adult_help,IS14A,IS14C,IS14K,IS17A,IS17C,IS17E,IS25A,IS25B,IS25C,IS25D,IS25E,IS25F,IS25G,IS25H,IS25J
10130117,1013,20.20352921052631,2,12.17,1,1,4.5,2,1,1,2.25,2,3,2,1,4,1,1,2,1,2,2,3,3,2,3,3
10130118,1013,20.20352921052631,2,13.58,1,1,2.5,2,1,1,2.75,2,2,3,2,4,1,1,2,1,1,3,2,2,3,3,2
10130119,1013,20.20352921052631,2,13.5,1,1,1.5,1,1,4,3.5,2,3,3,2,4,1,1,4,3,3,2,3,3,3,,1
10130120,1013,20.20352921052631,2,12.17,1,1,4,3,1,3,2.75,2,2,4,3,4,4,2,4,2,2,3,4,4,4,3,4
10150101,1015,10.02184621153846,3,13.42,1,1,5,1,1,2,3.25,1,1,4,1,4,1,1,4,4,4,2,1,1,1,3,1
10150102,1015,10.02184621153846,3,12.17,1,1,2.5,4,1,4,3.25,3,2,1,2,4,2,3,2,3,3,2,2,2,1,4,1
10150103,1015,10.02184621153846,2,13.25,1,1,2,1,1,4,3.75,3,2,2,2,1,4,3,2,1,3,2,3,3,3,2,3
10150104,1015,10.02184621153846,2,12.92,1,1,4,3,1,4,2.5,3,3,2,3,3,2,1,3,3,3,3,2,2,3,4,4
10150105,1015,10.02184621153846,1,13.75,1,1,3,1,1,2,2.75,2,4,2,4,3,1,1,3,2,3,4,4,4,4,4,4
10150106,1015,10.02184621153846,2,14.08,1,1,2,1,1,1,2.75,2,3,2,3,4,1,1,3,2,3,3,3,2,2,3,2
